"" ,"License ->Content in this spreadsheet is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International license. Details of the license can be seen here: https://creativecommons.org/licenses/by-nc-sa/4.0","Citation->Recommended citation: India Sand Watch, Veditum India Foundation. Accessed via http://sandwatch.envmonitoring.in on 4/12/2026",
"Title","Would you like to submit this report anonymously?","Date of Observation","Location","Are machines used in the process?","Can you specify types of machines/ equipment","Notes from the location","Pictures","State","District","River","Published Date"
"Tribeni - Hooghly / Bhagirathi River, 2016","N/A","17-06-2016 18:30:00","Serial Number,Latitude,Longitude
1,22.973344,88.405614
","Yes","Pumps loaded on to boats were being used. ","Possibly bottom dredgers which then transport the extracted material via pipes to the riverbank","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20160617_103012_56a865c7-7bdf-4f1c-9275-16b84ba22303.jpeg?generation=1687766819526489&alt=media","West Bengal","Murshidabad","Ganga","26-06-2023"
"Chandannagar - Hooghly / Bhagirathi (Ganga) River, 2016","N/A","16-06-2016 18:30:00","Serial Number,Latitude,Longitude
1,22.858211,88.372509
","Yes","Pumps loaded on to boats were being used.","Possibly bottom dredgers which then transport the extracted material via pipes to the riverbank. River was full so sand bar wasn't visible.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20160616_142838_d50bdf50-cb68-4d49-a60b-2b0def846736.jpeg?generation=1688574852800728&alt=media","West Bengal","Hugli","Ganga","05-07-2023"
"Nrisinghapur - Nadia / Bhagirathi (Ganga) River, 2016","N/A","19-06-2016 18:30:00","Serial Number,Latitude,Longitude
1,23.224999,88.375872
","Yes","Pumps loaded on to boats were being used.","Possibly bottom dredgers which then transport the extracted material via pipes to the riverbank. River was full so sand bar wasn't visible.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fscreenshot_2023_07_05_at_10_ebb1ea41-1f12-40f1-8fe7-04e6ea045ac2.jpeg?generation=1688575596417900&alt=media","West Bengal","Nadia","Ganga","05-07-2023"
"Patna - Patna, Ganga River, 2016","N/A","03-08-2016 18:30:00","Serial Number,Latitude,Longitude
1,25.649820,85.103437
","Yes","JCB - Poclain Machines + Trucks","JCB - poclain machines were being used for extraction of sand from the floodplains. This was claimed to be for use in the Patna marine drive project.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20160803_181420145_hdr_d3eac81d-0d48-4c5a-914c-56a71123a0e6.jpeg?generation=1688576190281553&alt=media","Bihar","Patna","Ganga","05-07-2023"
"Terasiya - Vaishali, Ganga River, 2016","N/A","07-08-2016 18:30:00","Serial Number,Latitude,Longitude
1,25.630869,85.210855
","No","N/A","Saw mounds of sand collected on the edge of the river on the Northern bank. Boats were parked for transportation. Images from later dates suggest that this area sees significant sand mining activity.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_20160807_110332247_hdr_f8c83e22-9fd7-4c94-b527-76a9e96a52d6.jpeg?generation=1688576436652650&alt=media","Bihar","Vaishali","Ganga","05-07-2023"
"Bhubaneswar - Khorda, Daya River, 2019","N/A","17-11-2019 18:30:00","Serial Number,Latitude,Longitude
1,20.226477,85.86709
","Yes","JCB - Poclain machines","Observation made via flight. Multiple machines can be seen along with mining activity on the river surface.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fejk49i2vuaei0xi_9fc13e77-ef12-4f94-af75-9b2a683df670.jpeg?generation=1688622410433001&alt=media","Odisha","Khordha","Daya","06-07-2023"
"Paruhar - Sitamarhi, Sone River, 2023","N/A","24-04-2023 18:30:00","Serial Number,Latitude,Longitude
1,24.98539879,84.281991086909
","Yes","Unable to see exact machines being used","Observation made on a flight over the River Sone. Clear indication of machine based extraction of sand, but exact machines used not visible from flight.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Ffvvxbupaeaiulmq_12f01af5-ec68-43c7-aae6-0050ca4716ba.jpeg?generation=1688622878044146&alt=media","Bihar","Sitamarhi","Sone","06-07-2023"
"Bindaul - Patna, Sone River, 2016","N/A","03-06-2016 18:30:00","Serial Number,Latitude,Longitude
1,25.532245,84.773178
","Yes","JCBs","Location was being mined at this time. Information was gathered a couple of months later when visiting this location.","N/A","Bihar","Patna","Sone","06-07-2023"
"Kharka - Jalaun, Betwa River, 2018","N/A","17-10-2018 18:30:00","Serial Number,Latitude,Longitude
1,25.889008,79.579011
","Yes","Poclain machines - JCB excavators","Multiple poclain machines were being used. Long row of trucks at the location. Workers mentioned that in the previous years while working, water was released from an upstream dam / barrage and it swept away some workers.","https://storage.googleapis.com/download/storage/v1/b/ved_prod__media/o/images%2Fimg_8395_60550cef-8da4-479e-bc61-123c3062d732.jpeg?generation=1690637462777991&alt=media","Uttar Pradesh","Jalaun","Betwa","29-07-2023"
"Nilakanthapada - Angul, Mahanadi River, 2019","N/A","21-02-2019 18:30:00","Serial Number,Latitude,Longitude
1,20.745748,84.474042
","Yes","Unable to specify ","Observed through an aerial route and confirmed with remote sensing information for the same period. ","N/A","Odisha","Anugul","Mahanadi","29-07-2023"
